ID,EnumName,DisplayName,IsFamilyInstanceCreatable,IsObsolete,IsAnnotation,IsFamilyFileCreatable,IsVirtual,ForLLM
-2000931,OST_StairsCutMarksAboveCut,<Above> Cut Marks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000951,OST_RailingHandRailAboveCut,<Above> Handrails,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000933,OST_StairsNosingLinesAboveCut,<Above> Nosing Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000935,OST_StairsOutlinesAboveCut,<Above> Outlines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000132,OST_StairsRailingAboveCut,<Above> Railings Cut Line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000937,OST_StairsRiserLinesAboveCut,<Above> Riser Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000124,OST_StairsSupportsAboveCut,<Above> Supports,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000950,OST_RailingTopRailAboveCut,<Above> Top Rails,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000939,OST_StairsPathsAboveCut,<Above> Up Arrows,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001033,OST_MEPLoadAreaSeparationLines,<Area Based Load Boundary>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000079,OST_AreaSchemeLines,<Area Boundary>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000065,OST_AxisOfRotation,<Axis of Rotation>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000287,OST_LinesBeyond,<Beyond>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000288,OST_CenterLines,<Centerline>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000285,OST_DemolishedLines,<Demolished>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009018,OST_FabricAreaSketchEnvelopeLines,<Fabric Envelope>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009019,OST_FabricAreaSketchSheetsLines,<Fabric Sheets>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009551,OST_PlumbingEquipmentHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009550,OST_MechanicalControlDevicesHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009516,OST_ElectricalEquipmentHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009062,OST_CouplerHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009050,OST_RebarHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2009032,OST_StructConnectionHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006275,OST_StructuralTendonHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006272,OST_ExpansionJointHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006262,OST_VibrationManagementHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006242,OST_BridgeFramingHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001358,OST_StructuralStiffenerHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001080,OST_ToposolidHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001059,OST_SignageHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001056,OST_AudioVisualDevicesHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001053,OST_VerticalCirculationHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001050,OST_FireProtectionHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001047,OST_MedicalEquipmentHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001044,OST_FoodServiceEquipmentHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001041,OST_TemporaryStructureHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2001037,OST_HardscapeHiddenLines,<Hidden Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000286,OST_HiddenLines,<Hidden>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000077,OST_InsulationLines,<Insulation Batting Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000284,OST_OverheadLines,<Overhead>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000833,OST_PathOfTravelLines,<Path of Travel Lines>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000066,OST_RoomSeparationLines,<Room Separation>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000045,OST_SketchLines,<Sketch>,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000831,OST_MEPSpaceSeparationLines,<Space Separation>,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006208,OST_AbutmentFoundationTags,Abutment Foundation Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2006202,OST_AbutmentFoundations,Abutment Foundations,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006209,OST_AbutmentPileTags,Abutment Pile Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2006203,OST_AbutmentPiles,Abutment Piles,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2006210,OST_AbutmentWallTags,Abutment Wall Tags,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
-2006204,OST_AbutmentWalls,Abutment Walls,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2005216,OST_LoadCasesAccidental,Accidental Loads,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-2000900,OST_AdaptivePoints,Adaptive Points,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
-2000904,OST_AdaptivePoints_HiddenLines,Adaptive Points Hidden Lines,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
